transcript	si_norm	accent_prop	perf_norm	art_norm	case_prop	age
TIM_SPK_0014	11.49425287	80	827.5862069	32.0855615		YOUNG
TIM_SPK_0159	6.622516556	0	400	0		YOUNG
TIM_SPK_0160	16.12903226	58.33333333	506.0240964	0	0	YOUNG
TIM_SPK_0161	11.81102362	28.57142857	500	0		YOUNG
TIM_SPK_0162	0	20	444.4444444	0		YOUNG
TIM_SPK_0163	4.310344828	0	566.6666667	0		YOUNG
TIM_SPK_0164	0	0	428.5714286	0		YOUNG
TIM_SPK_0165	0	0	375	0	0	YOUNG
TIM_SPK_0166	16.94915254	83.33333333	818.1818182	0		YOUNG
TIM_SPK_0168	6.681514477	21.73913043	701.754386	6.024096386	100	YOUNG
TIM_SPK_0001	88.12729498	50	629.9212598	5.928853755	80	OLD
TIM_SPK_0002	25.76950608	75.86206897	652.5423729	45.62043796	100	OLD
TIM_SPK_0003	36.95324284	87.5	700.8196721	14.77377655	84.61538462	OLD
TIM_SPK_0005	53.94736842	82.35294118	666.6666667	59.87055016	100	OLD
TIM_SPK_0007	8.130081301	70.83333333	510.3092784	6.163328197	100	OLD
TIM_SPK_0009	34.88372093	81.25	604.1666667	4.995004995	100	OLD
TIM_SPK_0011	45.52980132	69.23076923	726.3681592	74.54739084	100	OLD
TIM_SPK_0012	0	85.71428571	692.0529801	0	100	OLD
TIM_SPK_0015	38.85480573	58.06451613	542.4354244	11.22334456	100	OLD
TIM_SPK_0018	20.56074766	66.66666667	753.968254	0	100	OLD
TIM_SPK_0020	16.37168142	55.17241379	555.0660793	2.352941176	100	OLD
TIM_SPK_0021	17.81472684	43.75	579.8319328	1.39275766	100	OLD
TIM_SPK_0025	24.06738869	57.14285714	632.3529412	1.547987616	83.33333333	OLD
TIM_SPK_0028	62	65.51724138	586.4978903	67.33524355	100	OLD
TIM_SPK_0031	11.66781057	50	623.4177215	22.86719437	100	OLD
TIM_SPK_0034	20.33271719	44.44444444	734.2657343	6.396588486	100	OLD
TIM_SPK_0037	23.70689655	73.33333333	602.189781	12.02590194	100	OLD
TIM_SPK_0038	17.54385965	57.14285714	494.3820225	6.756756757	100	OLD
TIM_SPK_0040	22.49134948	88.0952381	617.6470588	16.33045149	84.61538462	OLD
TIM_SPK_0041	45.45454545	70.83333333	698.5294118	7.104795737	100	OLD
TIM_SPK_0046	10.05747126	41.66666667	479.1666667	24.69135802	100	OLD
TIM_SPK_0047	30.76923077	64.70588235	500	21.05263158	100	OLD
TIM_SPK_0049	0	64	549.8281787	0	100	OLD
TIM_SPK_0050	25.69593148	56.81818182	604.9723757	15.02145923	62.5	OLD
TIM_SPK_0054	62.58503401	71.79487179	564.9350649	46.31217839	100	OLD
TIM_SPK_0056	25.32617038	72.97297297	721.6117216	0	100	OLD
