transcript	location	latitude	longitude
TOR_C_0001	Ošljane	43.6619403	22.3198824
TOR_C_0002	Drvnik	43.5380928	22.373743
TOR_C_0003	Balinac	43.5646192	22.3557611
TOR_C_0004	Ćuštica	43.3569832	22.471588
TOR_C_0005	Gornje Zuniče	43.6040111	22.2726774
TOR_C_0006	Novo Korito	43.6319102	22.3780715
TOR_C_0007	Trnovac	43.6778332	22.2371434
TOR_C_0008	Trnovac	43.6778332	22.2371434
TOR_C_0009	Jelašnica	43.6372203	22.2849081
TOR_C_0010	Lepena	43.6516231	22.1690631
TOR_C_0011	Trgovište	43.5559776	22.2689437
TOR_C_0012	Žukovac	43.5303452	22.2819041
TOR_C_0013	Žukovac	43.5303452	22.2819041
TOR_C_0014	Vratarnica	43.7874394	22.30316
TOR_C_0015	Žlne	43.5217533	22.2310065
TOR_C_0016	Vasilj	43.5656435	22.1043201
TOR_C_0017	Tijovac	43.4605466	22.2029399
TOR_C_0018	Drečinovac	43.6247517	22.1785641
TOR_C_0019	Gornja Sokolovica	43.5208244	22.3176096
TOR_C_0020	Mali Izvor	43.7367708	22.3332087
TOR_C_0021	Ravno Bučje	43.440357	22.5416277
TOR_C_0022	Repušnica	43.498993	22.4709931
TOR_C_0023	Šesti Gabar	43.4286652	22.3310848
TOR_C_0024	Bučje	43.6785311	22.0925613
TOR_C_0025	Koželj	43.7012354	22.122858
TOR_C_0026	Grlište	43.811509	22.2213931
TOR_C_0027	Kandalica	43.5448132	22.3091554
TOR_C_0028	Inovo	43.4128949	22.4115079
TOR_C_0029	Inovo	43.4128949	22.4115079
TOR_C_0030	Jakovac	43.6396024	22.3007863
TOR_C_0031	Jakovac	43.6396024	22.3007863
TOR_C_0032	Jakovac	43.6396024	22.3007863
TOR_C_0033	Balinac	43.5646192	22.3557611
TOR_C_0034	Ponor	43.4981271	22.1893781
TOR_C_0035	Sastavak	43.5934153	22.1992064
TOR_C_0036	Sastavak	43.5934153	22.1992064
TOR_C_0037	Vlahovo	43.4221232	22.2966871
TOR_C_0038	Janja	43.4143799	22.5019092
TOR_C_0039	Janja	43.4143799	22.5019092
TOR_C_0040	Janja	43.4143799	22.5019092
TOR_C_0041	Donja Kamenica	43.4765163	22.284736
TOR_C_0042	Jalovik Izvor	43.3885095	22.3518556
TOR_C_0043	Balanovac	43.5899277	22.133674
TOR_C_0044	Balanovac	43.5899277	22.133674
TOR_C_0045	Minićevo	43.6899103	22.2722911
TOR_C_0046	Marinovac	43.7289829	22.1742719
TOR_C_0047	Debelica	43.6563506	22.2290753
TOR_C_0048	Šarbanovac	43.599566	22.3428224
TOR_C_0049	Lepena	43.6516231	22.1690631
TOR_C_0050	Štipina	43.6044134	22.2263716
TOR_C_0051	Aldinac	43.5428714	22.4199196
TOR_C_0052	Pričevac	43.4948949	22.3704814
TOR_C_0053	Vlahovo	43.4221232	22.2966871
TOR_C_0054	Crni Vrh	43.4024789	22.5246562
TOR_C_0055	Crni Vrh	43.4024789	22.5246562
TOR_C_0056	Gabrovnica	43.4510139	22.3809402
TOR_C_0057	Gabrovnica	43.4510139	22.3809402
TOR_C_0058	Gabrovnica	43.4510139	22.3809402
TOR_C_0059	Guševac	43.3907006	22.2558546
TOR_C_0060	Guševac	43.3907006	22.2558546
TOR_C_0061	Krenta	43.4796333	22.2175307
TOR_C_0062	Orešac	43.5227211	22.1744441
TOR_C_0063	Orešac	43.5227211	22.1744441
TOR_C_0064	Petruša	43.6451933	22.3207421
TOR_C_0065	Janja	43.4143799	22.5019092
TOR_C_0066	Radičevac	43.5878704	22.4054141
TOR_C_0067	Rgošte	43.5421972	22.1922969
TOR_C_0068	Stara Kalna	43.4218071	22.3796648
TOR_C_0069	Stara Kalna	43.4218071	22.3796648
TOR_C_0070	Vrbica	43.715833	22.264444
TOR_C_0071	Glogovac	43.5657135	22.1901511
TOR_C_0072	Leskovac	43.8124103	22.1721277
TOR_C_0073	Gradište	43.525366	22.3472212
TOR_C_0074	Leskovac	43.8124103	22.1721277
TOR_C_0075	Balta Berilovac	43.395682	22.458715
TOR_C_0076	Lokva	43.5850474	22.1935821
TOR_C_0077	Lokva	43.5850474	22.1935821
TOR_C_0078	Lokva	43.5850474	22.1935821
TOR_C_0079	Staro Korito	43.553737	22.3410441
TOR_C_0080	Borovac	43.7382209	22.0093976
TOR_C_0081	Bulinovac	43.603389	22.1680926
TOR_C_0082	Zorunovac	43.622745	22.0874547
TOR_C_0083	Selačka	43.7048679	22.31416
TOR_C_0084	Drenovac	43.693333	22.271111
TOR_C_0085	Drenovac	43.693333	22.271111
TOR_C_0086	Drenovac	43.693333	22.271111
TOR_C_0087	Drenovac	43.693333	22.271111
TOR_C_0088	Drenovac	43.693333	22.271111
TOR_C_0089	Knjaževac	43.5685949	22.2146125
TOR_C_0090	Knjaževac	43.5685949	22.2146125
TOR_C_0091	Knjaževac	43.5685949	22.2146125
TOR_C_0092	Knjaževac	43.5685949	22.2146125
TOR_C_0093	Knjaževac	43.5685949	22.2146125
TOR_C_0094	Knjaževac	43.5685949	22.2146125
TOR_C_0095	Knjaževac	43.5685949	22.2146125
TOR_C_0096	Trgovište	43.5559776	22.2689437
			
