transcript,st_words_count,nonst_words_count
TIM_SPK_0001.txt,4,4
TIM_SPK_0002.txt,7,22
TIM_SPK_0003.txt,4,28
TIM_SPK_0004.txt,1,0
TIM_SPK_0005.txt,3,14
TIM_SPK_0006.txt,0,0
TIM_SPK_0007.txt,7,17
TIM_SPK_0008.txt,0,0
TIM_SPK_0009.txt,3,13
TIM_SPK_0010.txt,0,0
TIM_SPK_0011.txt,8,18
TIM_SPK_0012.txt,10,60
TIM_SPK_0013.txt,21,39
TIM_SPK_0014.txt,2,8
TIM_SPK_0015.txt,26,36
TIM_SPK_0016.txt,0,0
TIM_SPK_0017.txt,11,17
TIM_SPK_0018.txt,3,6
TIM_SPK_0019.txt,0,0
TIM_SPK_0020.txt,13,16
TIM_SPK_0021.txt,9,7
TIM_SPK_0022.txt,0,0
TIM_SPK_0023.txt,0,0
TIM_SPK_0024.txt,0,0
TIM_SPK_0025.txt,9,12
TIM_SPK_0026.txt,0,0
TIM_SPK_0027.txt,0,1
TIM_SPK_0028.txt,10,19
TIM_SPK_0029.txt,0,0
TIM_SPK_0030.txt,0,0
TIM_SPK_0031.txt,11,11
TIM_SPK_0032.txt,5,2
TIM_SPK_0033.txt,0,0
TIM_SPK_0034.txt,5,4
TIM_SPK_0035.txt,2,5
TIM_SPK_0036.txt,1,1
TIM_SPK_0037.txt,4,11
TIM_SPK_0038.txt,3,4
TIM_SPK_0039.txt,0,0
TIM_SPK_0040.txt,5,37
TIM_SPK_0041.txt,7,17
TIM_SPK_0042.txt,0,0
TIM_SPK_0043.txt,1,3
TIM_SPK_0044.txt,0,0
TIM_SPK_0045.txt,4,3
TIM_SPK_0046.txt,7,5
TIM_SPK_0047.txt,6,11
TIM_SPK_0049.txt,9,16
TIM_SPK_0050.txt,19,25
TIM_SPK_0051.txt,1,2
TIM_SPK_0052.txt,0,0
TIM_SPK_0054.txt,11,28
TIM_SPK_0055.txt,1,0
TIM_SPK_0056.txt,10,27
TIM_SPK_0057.txt,5,13
TIM_SPK_0058.txt,2,23
TIM_SPK_0059.txt,4,12
TIM_SPK_0060.txt,1,4
TIM_SPK_0061.txt,18,69
TIM_SPK_0062.txt,5,9
TIM_SPK_0063.txt,16,23
TIM_SPK_0064.txt,0,0
TIM_SPK_0065.txt,3,0
TIM_SPK_0066.txt,0,0
TIM_SPK_0067.txt,0,0
TIM_SPK_0068.txt,4,2
TIM_SPK_0069.txt,16,14
TIM_SPK_0070.txt,0,0
TIM_SPK_0071.txt,3,15
TIM_SPK_0072.txt,7,5
TIM_SPK_0073.txt,1,0
TIM_SPK_0074.txt,0,0
TIM_SPK_0075.txt,21,11
TIM_SPK_0076.txt,29,26
TIM_SPK_0077.txt,0,1
TIM_SPK_0078.txt,0,0
