trancript,tokens,perf_count,perf_aux_count,perf_aux_3_count,perf_total_aux_count,perf_no_aux_count,perf_no_aux_norm
TIM_SPK_0001.txt,3822,127,38,9,47,80,629
TIM_SPK_0002.txt,6586,236,52,28,80,154,652
TIM_SPK_0003.txt,6263,244,47,26,73,171,700
TIM_SPK_0004.txt,64,2,0,0,0,2,1000
TIM_SPK_0005.txt,3318,117,29,10,39,78,666
TIM_SPK_0006.txt,21,0,0,0,0,0,0
TIM_SPK_0007.txt,4317,194,74,20,94,99,510
TIM_SPK_0008.txt,781,32,13,1,14,18,562
TIM_SPK_0009.txt,7012,240,68,26,94,145,604
TIM_SPK_0010.txt,208,9,2,1,3,6,666
TIM_SPK_0011.txt,6114,201,25,30,55,146,726
TIM_SPK_0012.txt,6820,302,69,24,93,209,692
TIM_SPK_0013.txt,6595,157,54,12,66,90,573
TIM_SPK_0014.txt,910,29,1,4,5,24,827
TIM_SPK_0015.txt,6088,271,75,49,124,147,542
TIM_SPK_0016.txt,29,0,0,0,0,0,0
TIM_SPK_0017.txt,10271,421,119,65,184,234,555
TIM_SPK_0018.txt,2320,126,17,14,31,95,753
TIM_SPK_0019.txt,476,19,12,3,15,4,210
TIM_SPK_0020.txt,9936,454,154,47,201,252,555
TIM_SPK_0021.txt,4135,119,13,36,49,69,579
TIM_SPK_0022.txt,294,0,0,0,0,0,0
TIM_SPK_0023.txt,5,0,0,0,0,0,0
TIM_SPK_0024.txt,4,0,0,0,0,0,0
TIM_SPK_0025.txt,3873,204,58,17,75,129,632
TIM_SPK_0026.txt,73,5,0,1,1,4,800
TIM_SPK_0027.txt,47,7,5,2,7,0,0
TIM_SPK_0028.txt,7174,237,84,12,96,139,586
TIM_SPK_0029.txt,16,0,0,0,0,0,0
TIM_SPK_0030.txt,83,2,1,0,1,1,500
TIM_SPK_0031.txt,6894,316,85,34,119,197,623
TIM_SPK_0032.txt,2007,70,23,6,29,40,571
TIM_SPK_0033.txt,124,7,2,2,4,3,428
TIM_SPK_0034.txt,2596,143,24,14,38,105,734
TIM_SPK_0035.txt,1402,69,11,12,23,46,666
TIM_SPK_0036.txt,489,21,7,1,8,13,619
TIM_SPK_0037.txt,6195,274,82,24,106,165,602
TIM_SPK_0038.txt,1644,89,38,7,45,44,494
TIM_SPK_0039.txt,487,27,6,6,12,15,555
TIM_SPK_0040.txt,11350,510,162,32,194,315,617
TIM_SPK_0041.txt,3268,136,32,9,41,95,698
TIM_SPK_0042.txt,56,2,1,0,1,1,500
TIM_SPK_0043.txt,608,21,8,3,11,10,476
TIM_SPK_0044.txt,77,7,1,5,6,1,142
TIM_SPK_0045.txt,5524,320,112,27,139,181,565
TIM_SPK_0046.txt,2951,96,41,8,49,46,479
TIM_SPK_0047.txt,1317,40,16,4,20,20,500
TIM_SPK_0049.txt,8414,291,95,34,129,160,549
TIM_SPK_0050.txt,8808,362,79,62,141,219,604
TIM_SPK_0051.txt,122,1,0,0,0,1,1000
TIM_SPK_0052.txt,18,1,1,0,1,0,0
TIM_SPK_0054.txt,6738,308,128,5,133,174,564
TIM_SPK_0055.txt,188,2,2,0,2,0,0
TIM_SPK_0056.txt,5572,273,43,32,75,197,721
TIM_SPK_0057.txt,4859,191,62,17,79,111,581
TIM_SPK_0058.txt,5526,218,48,28,76,138,633
TIM_SPK_0059.txt,3665,163,24,12,36,127,779
TIM_SPK_0060.txt,487,29,1,4,5,24,827
TIM_SPK_0061.txt,16823,677,119,51,170,507,748
TIM_SPK_0062.txt,4337,202,14,19,33,165,816
TIM_SPK_0063.txt,8200,257,63,25,88,168,653
TIM_SPK_0064.txt,94,2,2,0,2,0,0
TIM_SPK_0065.txt,462,7,2,2,4,3,428
TIM_SPK_0066.txt,92,1,0,0,0,1,1000
TIM_SPK_0067.txt,6,0,0,0,0,0,0
TIM_SPK_0068.txt,4610,189,53,8,61,126,666
TIM_SPK_0069.txt,7411,196,50,19,69,127,647
TIM_SPK_0070.txt,55,3,2,0,2,1,333
TIM_SPK_0071.txt,2314,67,20,5,25,41,611
TIM_SPK_0072.txt,2190,68,26,5,31,37,544
TIM_SPK_0073.txt,14,0,0,0,0,0,0
TIM_SPK_0074.txt,84,2,1,0,1,1,500
TIM_SPK_0075.txt,12017,450,106,74,180,266,591
TIM_SPK_0076.txt,12591,733,184,179,363,366,499
TIM_SPK_0077.txt,401,20,3,1,4,16,800
TIM_SPK_0078.txt,188,10,4,3,7,3,300
TIM_SPK_0079.txt,8,0,0,0,0,0,0
TIM_SPK_0080.txt,172,9,4,0,4,5,555
TIM_SPK_0081.txt,266,14,5,0,5,9,642
TIM_SPK_0082.txt,7792,322,104,21,125,197,611
TIM_SPK_0083.txt,566,14,7,1,8,5,357
TIM_SPK_0084.txt,3,0,0,0,0,0,0
TIM_SPK_0085.txt,3973,167,42,21,63,102,610
TIM_SPK_0086.txt,48,0,0,0,0,0,0
TIM_SPK_0087.txt,3466,176,51,20,71,105,596
TIM_SPK_0088.txt,11605,510,123,42,165,339,664
TIM_SPK_0089.txt,12,0,0,0,0,0,0
TIM_SPK_0090.txt,79,2,0,0,0,2,1000
TIM_SPK_0091.txt,37,2,1,0,1,1,500
TIM_SPK_0092.txt,20,1,0,0,0,1,1000
TIM_SPK_0095.txt,8926,454,160,78,238,216,475
TIM_SPK_0096.txt,4494,212,62,30,92,120,566
TIM_SPK_0097.txt,9,1,0,0,0,1,1000
TIM_SPK_0098.txt,5076,182,37,17,54,128,703
TIM_SPK_0099.txt,113,1,0,0,0,1,1000
TIM_SPK_0100.txt,1,0,0,0,0,0,0
TIM_SPK_0101.txt,9399,339,45,45,90,248,731
TIM_SPK_0102.txt,9,0,0,0,0,0,0
TIM_SPK_0103.txt,26,1,0,0,0,1,1000
TIM_SPK_0104.txt,3740,156,30,22,52,104,666
