dobar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

#pAklicu	Qr	#pAklicu
nE#	Qr	nE#
.	Z	.

nije/	Npmsn	nije/
bIlo	Vapn	biti
li	Qq	li
e/	Npmsn	e/
Evo	I	evo
sInko	Ncmsn	sinko
sAd	Rgp	sad
sam	Var1s	biti
•••	X	•••
došlA	Vmp-sf	doći
•••	X	•••
iz	Sg	iz
bAšču	Ncfsa	bašča
.	Z	.

zdrAvo	Rgp	zdravo
.	Z	.

bOjan	Npmsn	Bojan
•	X	•
jA	Pp1-sn	ja
sam	Var1s	biti
mI/	X	mi/
bAba	Ncfsn	baba
MilOjka	Npfsn	Milojka
.	Z	.

((XXX))	X	((xxx))
.	Z	.

j	Var3s	biti
sa	Si	sa
bAba	Ncfsn	baba
milOjka	Npfsn	Milojka
a	Cc	a
vI	Pp2-pn	vi
.	Z	.

pa	Cc	pa
štO	Qo	što
•	X	•
kvO	Pq-nsn	kakav
da	Cs	da
vrEvimo	Vmr1p	vreviti
.	Z	.

aOo	Agpmsny	aoo
sInko	Ncmsn	sinko
kvO	Pr-nsn	kvo
Ima	Vmr3s	imati
.	Z	.

kvO	Pr-nsn	kvo
Ima	Vmr3s	imati
bAba	Ncfsn	baba
kao	Cs	kao
bAba	Ncfsn	baba
•	X	•
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

Ajde	I	hajde
d	X	d
Imo	Npmsn	IMO
u	Sl	u
sObu	Ncfsa	soba
.	Z	.

jA	Pp1-sn	ja
sAg	Rgp	sad
sEdo	Rgp	sedo
daa	Cs	da
•	X	•
bAǵi	Npmsn	bAǵi
((XXX))	X	((xxx))
ću	Var1s	hteti
zaručUjem	Vmr1s	zaručivati
.	Z	.

sEdete	Npmpn	sEdeta
si	Px--sd	sebe
.	Z	.

sEdi	Agpmsny	sed
.	Z	.

Ajdete	I	hajde
da	Cs	da
ručUjete	Qr	ručUjete
.	Z	.

((XXX))	X	((xxx))
.	Z	.

sedi	Vmr3s	sedeti
na	Sa	na
((XXX))	X	((xxx))
.	Z	.

nEamo	Agpmsny	neamo
sInko	Ncmsn	sinko
vIdiš	Vmr2s	videti
ovdE	Rgp	ovde
nikakvO	Pi-nsn	nikakav
e	I	e
.	Z	.

nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

sAmo	Rgp	samo
•	X	•
dvA	Mlc	dva
.	Z	.

gOre	Rgp	gore
milOrad	Npmsn	Milorad
•••	X	•••
mItiḱ	Npmsn	mItiḱ
.	Z	.

ne	Qz	ne
mitiḱ	Vmr3s	mitiḱti
on	Pp3msn	on
je	Vcr3s	biti
iz	Sg	iz
jamu	Ncfsa	jama
.	Z	.

i	Cc	i
((?))	X	((?))
jA	Pp1-sn	ja
•	X	•
jA	Pp1-sn	ja
etO	I	eto
•	X	•
#nosI	Npmsn	#nosI
mi#	Npmsn	mi#
nEḱi	Pi-msn	neki
pUt	Ncmsn	put
dOle	Rgp	dole
Idem	Vmr1s	ići
neḱi	Pi-msn	neki
put/	Pi3n-a	put/
.	Z	.

sAd	Rgp	sad
•	X	•
nesAm	Var1s	biti
za	Sa	za
nIgde	Rgp	nigde
nIsam	Var1s	biti
za	Sa	za
dOle	Rgp	dole
nIsam	Var1s	biti
za	Sa	za
((?))	X	((?))
ovdE	Rgp	ovde
nIsam	Var1s	biti
za	Sa	za
nIgde	Rgp	nigde
•	X	•
nE	Qz	ne
znam	Vmr1s	znati
gde	Cs	gde
ću	Var1s	hteti
.	Z	.

trIes	Mlc	trideset
sEdmo	Mlonsn	sedmi
.	Z	.

u	Sl	u
dRvnik	Npmsl	dRvnac
.	Z	.

u	Sl	u
dRvnik	Npfsl	dRvnik
sam	Var1s	biti
se	Px--sa	sebe
rOdila	Vmp-sf	roditi
.	Z	.

Eno	I	eno
Odma	Rgp	odmah
ondE	Rgp	onda
preko	Sg	preko
••	X	••
potOk	Ncmsn	potok
u	Sa	u
onUj	Pd-fsa	onaj
kUću	Ncfsa	kuća
.	Z	.

e	I	e
sInko	Ncmsn	sinko
odAvna	Rgp	odavno
bIlo	Vmp-sn	biti
dbrO	Pi-nsn	dbrO
ovdE	Rgp	ovde
.	Z	.

odAvno	Rgp	odavno
ovdE	Rgp	ovde
bIlo	Vmp-sn	biti
tOj	Pd-nsn	taj
sAmo	Rgp	samo
milIna	Ncfsn	milina
.	Z	.

a	Cc	a
sAd	Rgp	sad
#glEj#	Vcr3s	#glejbiti
kakvO	Pi-nsn	kakav
e	I	e
.	Z	.

da	Cs	da
vi	Pp2-pn	vi
naprAim	Vmr1s	napraviti
kAfu	Ncfsa	kafa
.	Z	.

štO	Pq	što
.	Z	.

pa	Cc	pa
da	Cs	da
povrEvimo	Ncfpn	povrevima
aj	I	hajde
pa	Cc	pa
•	X	•
će	Var3s	hteti
da	Cs	da
zatvOrim	Vmr1s	zatvoriti
ovA	Pdpn	ovaj
vrAta	Ncnpn	vrata
.	Z	.

((sigh))	Npmsn	((sigh))
••	X	••
e	I	e
sInko	Ncmsn	sinko
•••	X	•••
za	Sa	za
skOro	Rgp	skoro
nIgda	Rgp	nigd
nisam	Var1s	biti
.	Z	.

pa	Cc	pa
tak/	Pi-nsn	tak/
vIš	Vmr2s	videti
nAs/	Ncmsan	nas/
na	Sa	na
((?))	X	((?))
na	Sa	na
svI	Pi-mpn	sav
dAvu	Vmr3p	davati
pOmoć	Ncfsa	pomoć
na	Sa	na
nAs	Pp1-pa	mi
na	Sa	na
dRvečenje	Ncfpa	drvečenja
ništa	Pi3n-a	ništa
.	Z	.

a	Cc	a
nI/	Npmsn	nI/
a	Cc	a
nEmamo	Vmr1p	imati
nIšta	Pi3n-n	ništa
nIgde	Rgp	nigde
.	Z	.

dEca	Ncnpn	dete
ti	Pp2-sd	ti
za	Sa	za
dEcu	Ncnpa	dete
.	Z	.

jA	Pp1-sn	ja
((XXX))	X	((xxx))
da	Cs	da
Idem	Vmr1s	ići
kod	Sg	kod
jednU	Mlcfsa	jedan
ženU	Ncfsa	žena
.	Z	.

kod	Sg	kod
jednU	Mlcfsa	jedan
žEnu	Ncfsa	žena
rekO	Vma1s	reći
da	Cs	da
meOče	Pxsa	meOče
prIme	Vmr3p	primiti
u	Sa	u
dOm	Ncmsan	dom
d	Cs	da
Im	Pp3-pd	oni
.	Z	.

zadEvam	Vmr1s	zadevati
na	Sa	na
dEcu	Ncnpa	dete
d	Cs	da
Im	Pp3-pd	oni
dOle	Rgp	dole
al	Cc	ali
da	Cs	da
smEtam	Vmr1s	smetati
na	Sa	na
dEcu	Ncnpa	dete
.	Z	.

a	Cc	a
za	Sa	za
ovdE	Rgp	ovde
vIše	Rgc	mnogo
nesAm	Var1s	biti
.	Z	.

i	Cc	i
nE	Qz	ne
znam	Vmr1s	znati
kudE	Rgp	kuda
ću	Var1s	hteti
••	X	••
Evo	I	evo
i	Cc	i
ne	Qz	ne
vIdim	Vmr1s	videti
.	Z	.

səg	Rgp	sad
jednO	Mlcnsn	jedan
Oko	Ncnsn	oko
•	X	•
na	Sl	na
ovOj	Pdsl	ovaj
na	Sa	na
Oko	Rgp	oko
ne	Qz	ne
vIdim	Vmr1s	videti
.	Z	.

trEba	Vmr3s	trebati
•	X	•
nEma	Vmr3s	imati
ni	Qo	ni
operAcija	Ncfsn	operacija
da	Cs	da
ga	Pp3msa	on
((XXX))	X	((xxx))
a	Cc	a
ovOj	Pd-nsn	ovaj
trEba	Vmr3s	trebati
da	Cs	da
operIšem	Vmr1s	operisati
.	Z	.

onO	Pd-nsn	onaj
trEba	Vmr3s	trebati
se	Px--sa	sebe
vEli	Vmr3s	velim
zakazUje	Vmr3s	zakazivati
•	X	•
trEba	Vmr3s	trebati
.	Z	.

nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

a	Cc	a
i	Cc	i
dRta	Pi3n-n	dRta
sam	Var1s	biti
.	Z	.

vEć	Rgp	već
vEć	Rgp	već
u	Sa	u
gOdine	Ncfpa	godina
.	Z	.

el	Qq	jel
ovdE	Rgp	ovde
u	Sa	u
selOvo	Npnsa	selOvo
•	X	•
o	Sl	o
sInko	Ncmsn	sinko
•	X	•
dAvna	Rgp	davno
imAlo	Vmp-sn	imati
•	X	•
mlOgo	Rgp	mnogo
.	Z	.

kad	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
bilA	Vmp-sf	biti
đAk	Ncmsn	đak
trIes	Mlc	trideset
đAka	Ncmpg	đak
bilI	Vmp-pm	biti
.	Z	.

trIes	Mlc	trideset
đAka	Ncmpg	đak
bilI	Vmp-pm	biti
ovAmo	Rgp	ovamo
u	Sa	u
škOlu	Ncfsa	škola
•	X	•
paa	Cc	pa
.	Z	.

če/	X	če/
I	Cc	i
pRvi	Mlcmsn	prvi
I	Cc	i
četvRti	Mlomsn	četvrti
pa	Cc	pa
smo	Var1p	biti
tU	Rgp	tu
i	Cc	i
ručuvAli	Vmp-pm	ručuvati
tU	Rgp	tu
ni	Cc	ni
dAvali/	Vmr3s	davali/ti
davAli	Vmp-pm	davati
da	Cs	da
jedEmo	Vmr1p	jesti
•	X	•
da	Cs	da
ručUjemo	Qr	ručUjemo
.	Z	.

a	Cc	a
sAd	Rgp	sad
glEj	Vcr3s	glebiti
kakvO	Pi-nsn	kakav
e	Vcr3s	biti
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

pa	Cc	pa
i	Cc	i
nEma	Vmr3s	imati
sAmo	Rgp	samo
da	Cs	da
Oče	Var3s	hteti
da	Cs	da
dOjde/	Pp3-pa	dOjde/
jA	Pp1-sn	ja
velIm/	Vmr1s	velimti
da	Cs	da
Oče	Var3s	hteti
sAmo	Rgp	samo
daaa	Cc	daaa
dOjde	Vmr3s	doći
((XXX))	X	((xxx))
•	X	•
tOp	Ncmsn	top
.	Z	.

da	Cs	da
ni	Qo	ni
tUre	Vmr3p	turiti
u	Sa	u
tOp	Ncmsan	top
•	X	•
i	Cc	i
((laugh))	X	((laugh))
((XXX))	X	((xxx))
u	Sa	u
bUgarsku	Npfsa	bugarska
i	Cc	i
gOtovo	Rgp	gotovo
.	Z	.

gdE	Cs	gde
li	Qq	li
daa/	Ncmsn	daa/
ne	Qz	ne
smO	Var1p	biti
za	Si	za
nIgde	Rgp	nigde
vIše	Rgc	mnogo
.	Z	.

imAla	Vmp-sf	imati
e	Var3s	biti
((XXX))	X	((xxx))
škOla	Ncfsn	škola
•	X	•
škOla	Ncfsn	škola
e	Var3s	biti
imAla	Vmp-sf	imati
.	Z	.

imAla	Vmp-sf	imati
pa	Cc	pa
đAci	Ncmpn	đak
mlOgo	Rgp	mnogo
pa	Cc	pa
u	Sa	u
svAku	Pd-fsa	svaki
kUću	Ncfsa	kuća
po	Sa	po
tri	Mlc	tri
((XXX))	X	((xxx))
.	Z	.

po	Sa	po
dva	Mlc	dva
đAka	Ncmsg	đak
trI	Mlc	tri
po	Sa	po
dva	Mlc	dva
đAka	Ncmsg	đak
trI	Mlc	tri
po	Sa	po
dva	Mlc	dva
đAka	Ncmsg	đak
trI	Mlc	tri
imAlo	Vmp-sn	imati
ljuǵe	Ncmpa	čovek
imAlo	Vmp-sn	imati
•	X	•
((?))	X	((?))
hh	Agpfsny	hh
stOka	Ncfsn	stoka
imAlo	Vmp-sn	imati
((?))	X	((?))
•	X	•
kuḱe	Px--sa	kuḱe
imAlo	Vmp-sn	imati
a	Cc	a
sAg	Rgp	sad
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

sAd	Rgp	sad
vIdite	Vcr3s	videti
li	Qq	li
kvO	Pi-nsn	kvo
e	I	e
de	Rgp	gde
((?))	X	((?))
glE	Npmsn	glE
kakvO	Pi-nsn	kakav
e	Vcr3s	biti
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

kUḱe	Ncfpn	kuḱa
se	Px--sa	sebe
izvRčaju/	Vmp-pm	izvrčajti
Evo	I	evo
i	Cc	i
kod	Sg	kod
mEn/	Npmsg	mEn
ne	Qz	ne
gledš/	X	gledš/
•	X	•
Eno	I	eno
odAvd	Sa	odAvd
vid	Ncmsan	vid
.	Z	.

ovOj	Pd-nsn	ovaj
trEba	Vmr3s	trebati
da	Cs	da
se	Pxsa	sebe
okrEči/	Vmr3s	okreči/ti
treba/	Npmsn	treba/
onO	Pd-nsn	onaj
nEma	Vmr3s	imati
kOj	Pi3m-n	koji
.	Z	.

zEtovi	Ncmpn	zet
si	Px--sd	sebe
•	X	•
glEda	Vmr3s	gledati
svAki	Pi-msn	svaki
njegOvo	Ps3nsn	njegov
•	X	•
Imau	Vmr3p	imati
si	Px--sd	sebe
dEcu/	Ncfpn	decua
Imaju	Vmr3p	imati
si	Px--sd	sebe
•••	X	•••
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
tekA	Rgp	tako
dOjdem	Vmr1s	doći
tUj	Rgp	tu
.	Z	.

stAra	Agpfsny	star
sum	Cc	sum
tUj	Rgp	tu
sam	Var1s	biti
si	Px--sd	sebe
navIkla	Vmp-sf	naviknuti
tUj	Rgp	tu
sam	Var1s	biti
naučIla	Vmp-sf	naučiti
.	Z	.

i	Cc	i
ne	Qz	ne
vAlja	Vmr3s	valjati
sInko	Ncmsn	sinko
•	X	•
idO	Vma1s	ići
((XXX))	X	((xxx))
gOre	Rgp	gore
u	Sa	u
bAfču	Npmsan	bAfču
daa	Cs	da
•	X	•
rEko/	Npfsn	rEko/
ne	Qz	ne
mogO/	Pi3n-n	mogO/
ne	Qz	ne
mOgu	Vmr1s	moći
ali	Cc	ali
•	X	•
.	Z	.

Oni	Pp3mpn	oni
velU	Agpfsay	vela
nemOj	Vmm2s-y	moći
nemOj	Vmm2s-y	moći
nemOj	Vmm2s-y	moći
•	X	•
a	Cc	a
onO	Pd-nsn	onaj
sedIm	Vmr1s	sedeti
dOle	Rgp	dole
u	Sa	u
palAnku	Ncfsa	palanka
.	Z	.

da	Cs	da
sedIm	Vmr1s	sedeti
dOle	Rgp	dole
••	X	••
svI	Pi-mpn	sav
si	Px--sd	sebe
otOde	Ncnsn	otode
paa	Cc	pa
•	X	•
kOpaju	Vmr3p	kopati
.	Z	.

pa	Cc	pa
