desAnka	Npfsn	Desanka
.	Z	.

ćuštIcu	Qr	ćuštIcu
.	Z	.

a	Cc	a
?	Z	?
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
jA	Pp1-sn	ja
sam	Vcr1s	biti
nEpismena	Agpfsny	nepismen
.	Z	.

i	Cc	i
ne	Qz	ne
znAm	Vmr1s	znati
.	Z	.

i	Cc	i
tO	Pd-nsn	taj
je	Var3s	biti
zabovAri	Vmp-pm	zabovati
mI	Pp1-pn	ja
.	Z	.

i	Cc	i
kOj	Cs	kao
znAm	Vmr1s	znati
jA	Pp1-sn	ja
tOj	Pd-nsn	taj
((noise))	X	((noise))
.	Z	.

da	Cs	da
li	Qq	li
se	Px--sa	sebe
Ubi	Vmp-sn	ubiti
?	Z	?
.	Z	.

kakO	Cs	kako
sam	Var1s	biti
došlA	Vmp-sf	doći
?	Z	?
.	Z	.

decA	Ncnpn	dete
mi	Pp1-sd	ja
se	Px--sa	sebe
od/	Ncfpn	oda
.	Z	.

otišlA	Vmp-sf	otići
ovdEk	Rgp	ovde
i	Cc	i
jA	Pp1-sn	ja
po	Sl	po
njI	Pp3-pa	oni
.	Z	.

i	Cc	i
jA	Pp1-sn	ja
.	Z	.

gdE	Rgp	gde
ću	Var1s	hteti
sedIm	Vmr1s	sedeti
sAma	Agpfsny	sam
.	Z	.

u	Sa	u
plAninu	Ncfsa	planina
.	Z	.

((noise))	X	((noise))
.	Z	.

pa	Cc	pa
kakO	Cs	kako
je	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

dObro	Rgp	dobro
onO	Pd-nsn	onaj
.	Z	.

za	Sa	za
mEni	Pp1-sd	ja
je	Vcr3s	biti
dObro	Rgp	dobro
.	Z	.

kad	Cs	kad
sam	Var1s	biti
dOšla	Vmp-sf	doći
ovdE	Rgp	ovde
.	Z	.

dAvu	Vmr3p	davati
ti	Pp2-sd	ti
lEb	Ncmsan	hleb
s	Si	sa
lEb	Ncmsan	hleb
.	Z	.

((laugh))	X	((laugh))
.	Z	.

kvE	Npmpn	kv
su	Var3p	biti
nasmejAne	Appfpny	nasmejati
.	Z	.

devOjčetIju	Qr	devOjčetIju
.	Z	.

nesU	Ncmsl	nes
njužljIve	Npfsg	njužljIva
nEgo	Cc	nego
nasmEjane	Agpfpny	nasmejan
.	Z	.

pa	Cc	pa
kakO	Cs	kako
se	Px--sa	sebe
žIvelo	Vmp-sn	živeti
.	Z	.

etE	I	eto
tekA	Rgp	tako
.	Z	.

kAda	Rgp	kada
.	Z	.

pOdobre	Mdc	podobre
kAda	Rgp	kada
pOloše	Vmr3s	polosati
.	Z	.

i	Cc	i
mOra	Vmr3s	morati
da	Cs	da
žIviš	Vmr2s	živeti
.	Z	.

na	Sa	na
nEku	Pisa	neki
strA	Ncmsay	str
.	Z	.

