sEdnite	Agpmpay-t	sedn
.	Z	.

pa	Cc	pa
nE	Qz	ne
znam	Vmr1s	znati
.	Z	.

kakvO	Pi-nsn	kakav
trEba	Vmr3s	trebati
.	Z	.

Umem	Vmr1s	umeti
jA	Pp1-sn	ja
da	Cs	da
kAžem	Vmr1s	kazati
dRta	Pi3n-a	dRta
sam	Vcr1s	biti
sIne	Ncmsv	sin
.	Z	.

((laugh))	X	((laugh))
pa	Cc	pa
nE	Qz	ne
znam	Vmr1s	znati
((laugh))	X	((laugh))
.	Z	.

paa	Cc	pa
((laugh))	X	((laugh))
.	Z	.

dRtaa	Qr	dRtaa
.	Z	.

dRta	Agpfsny	drt
bAba	Ncfsn	baba
.	Z	.

Ide	Vmr3s	ići
za	Sa	za
osamdesEt	Mlc	osamdeset
.	Z	.

četrEsto	Ncnsn	četresto
səm	Vmr1s	biti
godIšte	Ncnsn	godište
sIne	Ncmsv	sin
.	Z	.

pa	Cc	pa
nE	Qz	ne
znam	Vmr1s	znati
((Laughs	Vmp-sf	((laugti
jA	Pp1-sn	ja
kakO	Cs	kako
•	X	•
kakO	Cs	kako
si	Px--sd	sebe
ti	Pp2-sn	ti
Oćeš	Vmr2s	hteti
.	Z	.

mEne	Ncfpn	mena
tOj	Pd-nsn	taj
.	Z	.

živElo	Vmp-sn	živeti
se	Px--sa	sebe
mUka	Ncfsn	muka
sIne	Ncmsv	sin
.	Z	.

ovO	Pd-nsn	ovaj
vrEme	Ncnsn	vreme
žEtve	Ncfpn	žetva
žEtve	Ncfpn	žetva
žEtve	Ncfpn	žetva
pa	Cc	pa
se	Px--sa	sebe
••	X	••
uvAte	Vmr3p	uvatiti
po	Sa	po
trI	Mlc	tri
pRše	Vmr3p	pršiti
na	Sa	na
dƏn	Ncmsay	dan
pa	Cc	pa
.	Z	.

mUka	Ncfsn	muka
.	Z	.

mUka	Ncfsn	muka
bilO	Vmp-sn	biti
odAvna	Rgp	odavno
sƏg	Rgp	sad
.	Z	.

sƏg	Rgp	sad
smo	Var1p	biti
si	Px--sd	sebe
pred	Sa	pred
svE	Pi-nsn	sav
dOma	Rgp	doma
.	Z	.

jel	Qq	jel
nEqe	Pp1-pa	nEqe
bAba	Ncfsn	baba
.	Z	.

Ee	I	e
.	Z	.

nE	Qz	ne
jA	Pp1-sn	ja
sam	Vcr1s	biti
u	Sl	u
drečInovac	Npmsl	drečInovac
rOgjena	Z	rOgjena
a	Cc	a
ovdE	Rgp	ovde
sam	Var1s	biti
••	X	••
Udata	Appfsny	udati
.	Z	.

ali	Cc	ali
mlOgo	Rgp	mnogo
gOdina	Ncfpg	godina
.	Z	.

prEe	Npmsn	Pree
.	Z	.

gde	Rgp	gde
jA	Pp1-sn	ja
da	Cs	da
sEdnem	Vmr1s	sesti
da	Cs	da
vI	Pp2-pn	vi
