dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

((?))	X	((?))
jA	Pp1-sn	ja
vlastImirka	Npmsg	vlastImirko
prAvo	Rgp	pravo
se	Px--sa	sebe
zovEm	Vmr1s	zvati
.	Z	.

əe	Qr	əe
.	Z	.

pa	Cc	pa
kakO	Rgp	kako
etO	I	eto
bilA	Ncnpn	bilo
sam	Var1s	biti
u	Sl	u
grljAn	Npfsl	grljAn
čUvam	Vmr1s	čuvati
jednOa	Mdo	jednoa
stArca	Ncmsg	starac
tAm	Rgp	tamo
pa	Cc	pa
.	Z	.

pa	Cc	pa
ne	Qz	ne
znAm	Vmr1s	znati
ni	Qo	ni
jA	Pp1-sn	ja
kakO	Cs	kako
se	Px--sa	sebe
zovE	Vmr3s	zvati
.	Z	.

pa	Cc	pa
sam	Var1s	biti
sAd	Rgp	sad
dOšla	Vmp-sf	doći
.	Z	.

er	Rgp	er
On	Pp3msn	on
če	Var3s	hteti
d	Cc	da
Ide	Vmr3s	ići
u	Sa	u
bOlnicu	Ncfsa	bolnica
i	Cc	i
.	Z	.

pa	Cc	pa
če	Var3s	hteti
mi	Pp1-sd	ja
jAvi	Vmr3s	javiti
kadA	Rgp	kada
da	Cs	da
Idem	Vmr1s	ići
pa	Cc	pa
.	Z	.

mOžeš	Vmr2s	moći
.	Z	.

tO	Pd-nsa	taj
jA	Pp1-sn	ja
.	Z	.

pa	Cc	pa
kakO	Cs	kako
se	Px--sa	sebe
živElo	Vmp-sn	živeti
jA	Pp1-sn	ja
sam	Var1s	biti
rOdom	Rgp	rodom
iz	Sg	iz
bElareg	Pd-nsa	bElareg
.	Z	.

trIes	Mlc	trideset
devEte	Mlofsg	deveti
.	Z	.

pa	Cc	pa
.	Z	.

jovAnoviḱ	Qr	jovAnoviḱ
.	Z	.

živadInoviḱ	Vmr1s	živadinoviti
da	Cs	da
rEknem	Vmr1s	reći
.	Z	.

pə	Cc	pa
od	Sg	od
mUža	Ncmsay	muž
.	Z	.

pa	Cc	pa
On	Pp3msn	on
je	Var3s	biti
Umro	Vmp-sm	umreti
.	Z	.

pa	Cc	pa
u	Sa	u
šesnAest	Mlc	šesnaest
gOdin	Ncfsa	godina
sam	Var1s	biti
bilA	Vcp-sf	biti
.	Z	.

pa	Cc	pa
kakOj	Cs	kako
Eto	I	eto
takOj	Rgp	tako
.	Z	.

pə	I	pa
od	Sg	od
danAs	Rgp	danas
do	Sg	do
sUtra	Rgp	sutra
i	Cc	i
.	Z	.

radEli	Vmp-pm	radeti
smo	Var1p	biti
poljoprIvredu	Ncfsa	poljoprivreda
svE	Pi-nsn	sav
a	Cc	a
sAd	Rgp	sad
((?))	X	((?))
.	Z	.

ništA	Pi3n-a	ništa
.	Z	.

mUž	Ncmsn	muž
mi	Pp1-sd	ja
ovdE	Rgp	ovde
.	Z	.

riljAli	Vmp-pm	riljati
sadIli	Vmp-pm	saditi
smo	Var1p	biti
ig	Ncpfa	ig
.	Z	.

bAštu	Ncfsa	bašta
i	Cc	i
svE	Pi-nsn	sav
mogUće	Agpnsny	moguć
a	Cc	a
sAd	Rgp	sad
.	Z	.

nIšta	Pi3n-a	ništa
ne	Qz	ne
mOgu	Vmr1s	moći
.	Z	.

jer	Cs	jer
ne	Qz	ne
mOgu	Vmr1s	moći
da	Cs	da
.	Z	.

da	Cs	da
se	Pxsa	sebe
slOgnem	Vmr1s	slognuti
da	Cs	da
rAdim	Vmr1s	raditi
.	Z	.

pa	Cc	pa
čuvAle	Vmp-pf	čuvati
.	Z	.

Ovce	Ncfpn	ovca
.	Z	.

krAve	Ncfpn	krava
svE	Pi-nsn	sav
mogUće	Agpnsny	moguć
smo	Var1p	biti
čuvAli	Vmp-pm	čuvati
.	Z	.

a	Cc	a
sAd	Rgp	sad
nIšta	Pi3n-n	ništa
.	Z	.

pa	Cc	pa
kakO	Cs	kako
bilO	Vcp-sn	biti
.	Z	.

znAješ	Vmr2s	znati
.	Z	.

seljAčka	Agpmsgn	seljački
pOsla	Ncmsg	posao
.	Z	.

pa	Cc	pa
.	Z	.

rAdimo	Vmr1p	raditi
poljoprIvredu	Ncfsa	poljoprivreda
təkO	Rgp	tako
i	Cc	i
.	Z	.

nIje	Var3s	biti
imAlo	Vmp-sn	imati
da	Cs	da
se	Pxsa	sebe
Ide	Vmr3s	ići
u	Sa	u
sElo	Ncnsa	selo
da	Cs	da
je	Var3s	biti
kao	Cs	kao
sƏd	Cs	sƏd
što	Cs	što
se	Px--sa	sebe
Ide	Vmr3s	ići
.	Z	.

er	Rgp	er
jA	Pp1-sn	ja
sam	Var1s	biti
živEla	Vmp-sf	živeti
kOd	Sg	kod
mAḱu	Npfsa	mAḱa
nesAm	Var1s	biti
kOd	Sg	kod
mAjku	Ncfsa	majka
živEla	Vmp-sf	živeti
.	Z	.

mEni	Ncfsd	mena
mAjka	Ncfsn	majka
Umrla	Vmp-sf	umreti
jA	Pp1-sn	ja
sam	Var1s	biti
ostAla	Vmp-sf	ostati
.	Z	.

u	Sa	u
šEs	Mlc	šest
mEseca	Ncmsg	mesec
.	Z	.

bez	Sg	bez
mAjku	Ncfsa	majka
.	Z	.

i	Cc	i
Onda	Rgp	onda
.	Z	.

bAšta	Ncmsn	bašta
e	Var3s	biti
Otac	Ncmsn	otac
se	Px--sd	sebe
oženIl	Vmp-sm	oženiti
.	Z	.

rodIli	Vmp-pm	roditi
drUgu	Mlofsa	drugi
ḱErku	Ncfsa	kćerka
.	Z	.

i	Cc	i
tekOj	Rgp	tako
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
živEla	Vmp-sf	živeti
kOd	Sg	kod
mAḱehu	Npfsa	mAḱeha
takOj	Rgp	tako
rEḱi	Mdc	reḱi
.	Z	.

imAla	Vmp-sf	imati
sam	Var1s	biti
bAbu	Ncfsa	baba
dEdu	Ncmsay	deda
i	Cc	i
.	Z	.

onI	Pp3mpn	oni
me	Pp1-sa	ja
čuvAli	Vmp-pm	čuvati
.	Z	.

pa	Cc	pa
((?))	X	((?))
nIje	Var3s	biti
bIla	Vapf	biti
.	Z	.

i	Cc	i
jA	Pp1-sn	ja
sam	Var1s	biti
samo	Rgp	samo
dOšla	Vmp-sf	doći
i	Cc	i
gotOvo	Rgp	gotovo
.	Z	.

nIsmo	Var1p	biti
se	Px--sa	sebe
verIli	Vmp-pm	veriti
ni	Qo	ni
nIšta	Pi3n-n	ništa
.	Z	.

pa	Cc	pa
znAli	Vmp-pm	znati
smo	Var1p	biti
se	Px--sa	sebe
er	Rgp	er
.	Z	.

mOja	Ps1fsn	moj
je	Var3s	biti
kUḱa	Ncfsn	kuća
bilA	Vapf	biti
.	Z	.

na	Sl	na
tEtku	Ncmsl	tetak
mu	Pp3msd	on
njEmu	Pp3msd	on
.	Z	.

Iznad	Sg	iznad
a	Cc	a
mojA	Ps1fsn	moj
Ispod	Sg	ispod
i	Cc	i
stAlno	Rgp	stalno
smo	Var1p	biti
se	Px--sa	sebe
znAli	Vmp-pm	znati
.	Z	.

i	Cc	i
takO	Rgp	tako
je	Var3s	biti
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
sam	Var1s	biti
bilA	Vmp-sf	biti
u	Sa	u
šesnAes	Ncfpa	šesnaea
gOdin	Ncfsa	godina
.	Z	.

a	Cc	a
On	Pp3msn	on
u	Sa	u
dvAes	Mlc	dvadeset
.	Z	.

pə	I	pa
.	Z	.

štA	Pi3n-n	što
jƏ	Var2p	biti
jA	Pp1-sn	ja
ne	Qz	ne
znAm	Vmr1s	znati
ne	Qz	ne
sEḱ	Vmp-sm	seti
.	Z	.

pə	Cc	pa
štA	Pi3n-a	što
urAdim	Vmr1s	uraditi
Idem	Vmr1s	ići
sas	Si	sa
dEdu	Ncmsay	deda
s	Si	sa
Ovce	Ncfpa	ovca
s	Si	sa
krAve	Ncfpa	krava
i	Cc	i
takvO	Pd-nsn	takav
.	Z	.

dOk	Cs	dok
sam	Var1s	biti
se	Px--sa	sebe
udAla	Vmp-sf	udati
pOsle	Rgp	posle
.	Z	.

kAd	Cs	kad
sam	Var1s	biti
doŠla	Vmp-sf	doći
ovdEkaj	Rgp	ovde
jA	Pp1-sn	ja
.	Z	.

samO	Rgp	samo
.	Z	.

ao	Cs	kao
jA	Pp1-sn	ja
sam	Var1s	biti
bilA	Vcp-sf	biti
devOjka	Ncfsn	devojka
u	Sa	u
šesnAes	Pd-fsa	šesnAes
gOdin	Ncfsa	godina
.	Z	.

sam	Var1s	biti
se	Px--sa	sebe
udAla	Vmp-sf	udati
.	Z	.

pa	Cc	pa
kvO	Pi-nsn	kvo
sam	Var1s	biti
znAla	Vmp-sf	znati
.	Z	.

kopAla	Vmp-sf	kopati
sam	Var1s	biti
žEla	Vmp-sf	žeti
səm	Var1s	biti
takO	Rgp	tako
.	Z	.

er	Pd-nsn	er
mEne	Ncfpn	mena
su	Var3p	biti
trI	Mlc	tri
decA	Ncnpn	dete
nastradAli	Agpmsny	nastradao
.	Z	.

i	Cc	i
pOsla	Rgp	posle
Imam	Vmr1s	imati
ovA	Pd-fsn	ovaj
dvA	Mlc	dva
sIna	Ncmsg	sin
i	Cc	i
.	Z	.

takOj	Rgp	tako
.	Z	.

pa	Cc	pa
plEla	Vmp-sf	plesti
sam	Var1s	biti
.	Z	.

prEla	Vmp-sf	presti
sam	Var1s	biti
svE	Pi-nsa	sav
mOguće	Agpnsny	moguć
sam	Var1s	biti
radEla	Vmp-sf	radeti
el	Qq	jel
jA	Pp1-sn	ja
.	Z	.

nesAm	Var1s	biti
bilA	Vmp-sf	biti
gospOdsko	Agpnsny	gospodski
detE	Ncnsn	dete
nEgo	Cc	nego
seljAčko	Agpnsny	seljački
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

pa	Cc	pa
.	Z	.

pa	Cc	pa
tkAlo	Vmp-sn	tkati
se	Pxsa	sebe
na	Sa	na
stAtiva	Ncfpa	stativa
na	Sa	na
.	Z	.

onO	Pd-nsn	onaj
sAd	Rgp	sad
i	Cc	i
nEma	Vmr3s	imati
tOj	Pd-nsn	taj
ne	Qz	ne
tkAju	Vmr3p	tkati
uOpšte	Rgp	uopšte
.	Z	.

pə	Cc	pa
štA	Pi3n-a	što
((?))	X	((?))
.	Z	.

čAršavi	Ncmpn	čaršav
.	Z	.

takvO	Pd-nsn	takav
onAkvo	Pd-nsn	onakav
ḱilImi	Vmp-sn	ḱiliti
.	Z	.

Eto	I	eto
tEj	Npmsn	Tej
ḱilIm	Npmsn	ḱilIm
.	Z	.

što	Pi3n	što
je	Var3s	biti
tUj	Rgp	tu
naəə	Ncmsn	naəə
.	Z	.

klUpu	Ncfsa	klupa
.	Z	.

i	Cc	i
jA	Pp1-sn	ja
sam	Var1s	biti
ga	Pp3msa	on
tkAla	Vmp-sf	tkati
.	Z	.

imAla	Vmp-sf	imati
sam	Var1s	biti
svekRvu	Ncfsa	svekrva
svEkra	Ncmsg	svekar
.	Z	.

i	Cc	i
.	Z	.

sirOtinjsko	Agpnsny	sirotinjski
detE	Ncnsn	dete
znAješ	Vmr2s	znati
kakO	Cs	kako
je	Vcr3s	biti
.	Z	.

i	Cc	i
səə	I	səə
.	Z	.

vIše	Rgc	mnogo
ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
da	Cs	da
vi	Pp2-pn	vi
prIčam	Vmr1s	pričati
.	Z	.

a	Cc	a
kakvO	Pi-nsn	kakav
ste	Var2p	biti
pə	Cc	pa
spremAli	Vmp-pm	spremati
da	Cs	da
jedEte	Vmr2p	jesti
.	Z	.

pa	Cc	pa
((?))	X	((?))
kvO	Pi-nsn	kvo
.	Z	.

pOsno	Agpnsny	postan
jElo	Ncnsn	jelo
.	Z	.

ne	Qz	ne
kao	Cs	kao
sAd	Cs	sAd
što	Cs	što
Ima	Vmr3s	imati
mo	Pq-nsn	mo
svE	Pi-nsn	sav
mogUḱe	Ncfpn	moguḱa
.	Z	.

nEgo	Cc	nego
.	Z	.

pOsno	Agpnsny	postan
kvO	Pi-nsn	kvo
ispErtujemo	Vcr3s	ispertujembiti
tOj	Pd-nsn	taj
sprEmamo	Vmr1p	spremati
.	Z	.

pa	Cc	pa
kakO	Cs	kako
.	Z	.

uz	Sa	uz
ognjIšte	Ncnsa	ognjište
.	Z	.

u	Sa	u
gRne	Ncnsa	grne
.	Z	.

sə	Px--sa	sebe
.	Z	.

kUvamo	Vmr1p	kuvati
i	Cc	i
takvO	Pd-nsn	takav
.	Z	.

sAd	Rgp	sad
Evo	I	evo
Imaš	Vmr2s	imati
.	Z	.

špOret	Pi-msn	špOret
Ima	Vmr3s	imati
svE	Qo	sve
mogUḱe	Ncfpa	moguḱa
pa	Cc	pa
se	Px--sa	sebe
kUva	Vmr3s	kuvati
.	Z	.

a	Cc	a
tagAj	Rgp	tada
.	Z	.

uz	Sa	uz
ognjIšte	Ncnsa	ognjište
pa	Cc	pa
gRne	Ncnsa	grne
i	Cc	i
.	Z	.

takOj	Rgp	tako
kUvamo	Vmr1p	kuvati
.	Z	.

tE	Pp2-sa	ti
mEni	Ncfsd	mena
je	Var3s	biti
mAjka	Ncfsn	majka
iz	Sg	iz
marinOvac	Npmsay	marinOvac
.	Z	.

i	Cc	i
Eto	I	eto
takO	Rgp	tako
je	Var3s	biti
.	Z	.

pevAli	Vmp-pm	pevati
.	Z	.

tə	Cs	ta
nI	Qo	ni
nIje	Var3s	biti
tagAj	Rgp	tada
imAlo	Vmp-sn	imati
pEsme	Ncfpn	pesma
.	Z	.

i	Cc	i
jA	Pp1-sn	ja
kAd	Cs	kad
sam	Var1s	biti
dOšlo	Vmp-sn	doći
.	Z	.

((?))	X	((?))
znAeš	Vmr2s	znati
.	Z	.

seljAčko	Agpnsny	seljački
detE	Ncnsn	dete
.	Z	.

nesAm	Var1s	biti
znAla	Vmp-sf	znati
nIšta	Pi3n-a	ništa
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

pam/	Npmpn	pam
ne	Qz	ne
pAmtim	Vmr1s	pamtiti
Uopšte	Rgp	uopšte
ne	Qz	ne
zə/	X	zə/
ne	Qz	ne
