aleksAndar	Ncmsn	aleksandar
golUbovi'	Npmsn	golUbovi'
.	Z	.

sedAmnest	Npmsn	sedAmnest
.	Z	.

pa	Cc	pa
iz	Sg	iz
knjAževca	Ncmsg	knjaževac
sam	Var1s	biti
a	Cc	a
.	Z	.

rOdom	Rgp	rodom
sam	Var1s	biti
iz	Sg	iz
sEla	Vmp-sf	sesti
pORed	Sg	pored
knjAževca	Ncmsg	knjaževac
.	Z	.

((?))	X	((?))
debElica	Npfsn	debElica
.	Z	.

pa	Cc	pa
ne	Qz	ne
tAmo	Rgp	tamo
je	Vcr3s	biti
mi	Pp1-sd	ja
je	Var3s	biti
mAjka	Ncfsn	majka
rOđena	Appfsny	roditi
i	Cc	i
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
Ovde	Rgp	ovde
ali	Cc	ali
.	Z	.

skOro	Rgp	skoro
s	Si	sa
mIslim	Vmr1s	misliti
svAki	Pisn	svaki
vIkend	Ncmsn	vikend
sam	Var1s	biti
tAmo	Rgp	tamo
.	Z	.

bAš	Rgp	baš
mnOgo	Rgp	mnogo
vrEmena	Ncnsg	vreme
provOdim	Vmr1s	provoditi
tAmo	Rgp	tamo
.	Z	.

Imam	Vmr1s	imati
bAbu	Ncfsa	baba
dEda	Ncmsn	deda
mi	Pp1-sd	ja
je	Var3s	biti
Umro	Vmp-sm	umreti
prE	Sg	pre
pEt	Mlc	pet
gOdina	Ncfpg	godina
.	Z	.

pa	Cc	pa
uglAvnom	Rgp	uglavnom
slAvimo	Vmr1p	slaviti
slAvu	Ncfsa	slava
tO	Pd-nsn	taj
je	Pp3fsa	on
znAči	Vmr3s	značiti
.	Z	.

svAk/	Z	svAk/
svAka	Pisn	svaki
kUća	Ncfsn	kuća
bukvAlno	Rgp	bukvalno
u	Sl	u
nAšem	Agpmsly	naši
krAju	Ncmsl	kraj
Ima	Vmr3s	imati
.	Z	.

tAj	Pdsn	taj
Običaj	Ncmsn	običaj
da	Cs	da
slAvi	Vmr3s	slaviti
slAvu	Ncfsa	slava
i	Cc	i
.	Z	.

tO	Pdsn	taj
je	Var3s	biti
nEka	Pisn	neki
slAva	Ncfsn	slava
od	Sg	od
davnIna	Ncfpg	davnina
kojU	Pisa	koji
su	Var3p	biti
nAš	Ps1msn	naš
prEci	Ncmpn	predak
slAvili	Vmp-pm	slaviti
i	Cc	i
Onda	Rgp	onda
slAvimo	Vmr1p	slaviti
i	Cc	i
mI	Pp1-pn	ja
.	Z	.

((?))	X	((?))
.	Z	.

slVaimo	Npmsn	slVaimo
tO	Pdsn	taj
slAvimo	Vmr1p	slaviti
ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
jOš	Rgp	još
.	Z	.

((?))	X	((?))
u	Sl	u
pa	Cc	pa
Imam	Vmr1s	imati
jA	Pp1-sn	ja
u	Sa	u
sElo	Ncnsa	selo
slAvim	Vmr1s	slaviti
rEcimo	Vmr1p	reći
trI	Mlc	tri
slAve	Ncfsg	slava
.	Z	.

Imamə	Npmsn	Imamə
.	Z	.

jEdnu	Mlcfsa	jedan
kOja	Pisn	koji
mi	Pp1-sd	ja
je	Var3s	biti
kRsna	Agpfsny	krsni
slAva	Ncfsn	slava
tO	Pdsn	taj
je	Var3s	biti
svEti	Agpmsny	svet
nIkola	Npmsn	Nikola
bIla	Vapf	biti
je	Var3s	biti
prE	Sg	pre
dvA	Mlc	dva
dAna	Ncmsg	dan
.	Z	.

((?))	X	((?))
a	Cc	a
Imam	Vmr1s	imati
((?))	X	((?))
.	Z	.

i	Cc	i
slAvu	Ncfsa	slava
kOju	Pisa	koji
slAvi	Vmr3s	slaviti
cElo	Agpnsny	cel
sElo	Ncnsn	selo
znAči	Vmr3s	značiti
bukvAlno	Rgp	bukvalno
tO	Pd-nsn	taj
to	Pd-nsn	taj
se	Px--sa	sebe
kOd	Sg	kod
nAs	Pp1-pg	mi
kAže	Vmr3s	kazati
zavEćina	Npfsn	zavEćina
.	Z	.

i	Cc	i
tO	Pd-nsn	taj
slAvi	Vmr3s	slaviti
cElo	Agpnsny	cel
sElo	Ncnsn	selo
