yanImljiva	Aspfsny	yanimljiv
tEma	Ncfsn	tema
pa	Cc	pa
mOžda	Rgp	možda
se	Px--sa	sebe
opUstim	Vmr1s	opusteti
da	Cs	da
.	Z	.

((?))	X	((?))
Anđela	Npmsg	Anđel
.	Z	.

milOjković	Npmsn	Milojković
.	Z	.

Imam	Vmr1s	imati
osAmnest	Vcr3s	bimnesti
gOdina	Ncfsn	godina
.	Z	.

gOdine	Ncfpn	godina
((laugh))	X	((laugh))
.	Z	.

e	I	e
bAš	Qo	baš
takO	Rgp	tako
.	Z	.

pa	Cc	pa
odAvde	Rgp	odavde
iz	Sg	iz
knjAževca	Npmsg	knjAževac
.	Z	.

i	Cc	i
mOji	Ps1mpn	moj
rodItelji	Ncmpn	roditelj
su	Var3p	biti
.	Z	.

nisU	Var3p	biti
mAjka	Ncfsn	majka
nIje	Var3s	biti
rOđena	Appfsny	roditi
u	Sl	u
knjAževcu	Npmsl	knjAževac
.	Z	.

ali	Cc	ali
Otac	Ncmsn	otac
jEste	Vcr3s	biti
.	Z	.

mAjka	Ncfsn	majka
je	Var3s	biti
iz	Sg	iz
gOrnje	Agpfsgy	gornji
kAmenice	Ncfsg	kamenica
.	Z	.

porEklom	Ncnsi	poreklo
.	Z	.

pa	Cc	pa
((?))	X	((?))
.	Z	.

ne	Qz	ne
vrEvi	Vmr3s	vrevati
se	Px--sa	sebe
bAš	Qo	baš
tolIko	Rgp	toliko
al	Cc	ali
Ima	Vmr3s	imati
na	Sa	na
prImer	Ncmsan	primer
nEka	Qo	neka
.	Z	.

mI	Pp1-pn	ja
štO	Pi3n	što
i	Cc	i
upO/	Pq-nsn	upO/
i	Cc	i
štO	Cs	što
mI	Pp1-pn	ja
upotrebljAvamo	Vmr1p	upotrebljavati
OVde	Rgp	ovde
tIpa	Ncmsg	tip
kvO	Pr-nsn	kvo
.	Z	.

štA	Pi3n-a	što
kvO	Cs	kako
štA	Cs	štA
štO	Cs	što
znAči	Vmr3s	značiti
.	Z	.

Onda	Rgp	onda
.	Z	.

Ima	Vmr3s	imati
nEki	Pi-msn	neki
nAglasak	Ncmsan	naglasak
na	Sa	na
nEko	Pisa	neki
na	Sa	na
nEku	Agpfsay	neki
rEč	Ncfsa	reč
kOji	Pi-mpn	koji
.	Z	.

ne	Qz	ne
prImer	Ncmsn	primer
.	Z	.

i	Cc	i
vI	Agpmpny	vi
beOgrađani	Npmpn	Beograđanin
((laugh))	X	((laugh))
.	Z	.

prIčate	Vmr2p	pričati
ali	Cc	ali
.	Z	.

mI	Pp1-sd	ja
((?))	X	((?))
drugAčije	Rgp	drugačije
naglašAvamo	Vmr1p	naglašavati
tO	Pd-nsn	taj
vAše	Agpfpay	vaš
.	Z	.

pa	Cc	pa
štA	Pi3n-a	što
vas	Var2p	vas
konkrEnto	Px--sa	konkrEnto
zanIma	Vmr3s	zanimati
.	Z	.

mI	Pp1-pn	ja
u	Sl	u
kUći	Ncfsl	kuća
slAvimo	Vmr1p	slaviti
pa	Cc	pa
nOrmalno	Rgp	normalno
kao	Cs	kao
i	Cc	i
svI	Vmr3s	svirati
bOžić	Npmsn	Božić
bAdnje	Agpnsay	badnji
vEče	Ncnsa	večer
.	Z	.

slAvu	Ncfsa	slava
.	Z	.

((?))	X	((?))
Onda	Rgp	onda
.	Z	.

rOđendane	Ncmpa	rođendan
nEke	Pipa	neki
prOslave	Ncfpa	proslava
ali	Cc	ali
tO	Pdsn	taj
se	Pxsa	sebe
svE	Pi-nsn	sav
slAvi	Vmr3s	slaviti
na	Sa	na
.	Z	.

nEki	Pipn	neki
Isti	Agpmsayn	isti
nAčin	Ncmsan	način
kao	Cs	kao
i	Cc	i
